Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2005-11-29 23:40:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,INGLESIDE,PSYCHOPATHIC CASE,300 Block of EDINBURGH ST,-122.43031320592,37.7235771439045
2010-09-25 07:00:00,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Saturday,INGLESIDE,NONE,100 Block of DUNCAN ST,-122.423483832671,37.7463624473549
2003-03-31 07:45:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,5TH ST / HOWARD ST,-122.404934413346,37.7814987212989
2011-11-20 19:45:00,ASSAULT,CHILD ABUSE (PHYSICAL),Sunday,BAYVIEW,NONE,0 Block of SANTAFE AV,-122.400726998337,37.7341372088624
2011-01-25 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,600 Block of MINNA ST,-122.411205728723,37.7782244806331
2011-03-22 14:43:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,NONE,EDDY ST / HYDE ST,-122.415885065788,37.783516056415294
2014-04-03 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,INGLESIDE,NONE,500 Block of VISITACION AV,-122.404704106684,37.71060048621271
2008-02-07 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,600 Block of UPLAND DR,-122.466703008842,37.7303581009926
2005-08-22 13:00:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Monday,INGLESIDE,NOT PROSECUTED,4700 Block of MISSION ST,-122.436867932617,37.7220486455317
2007-01-08 20:57:00,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE,Monday,CENTRAL,"ARREST, BOOKED",500 Block of SUTTER ST,-122.409445484488,37.789173205941
2012-01-27 15:17:00,OTHER OFFENSES,CONSPIRACY,Friday,BAYVIEW,"ARREST, BOOKED",3RD ST / MARIPOSA ST,-122.388854011336,37.7643228810013
2011-04-07 20:15:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Thursday,INGLESIDE,NONE,4700 Block of MISSION ST,-122.436194484896,37.7227270383576
2011-03-09 11:00:00,NON-CRIMINAL,TARASOFF REPORT,Wednesday,SOUTHERN,NONE,1200 Block of MISSION ST,-122.413583483648,37.7770436202636
2005-04-24 12:55:00,LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW,Sunday,MISSION,"ARREST, CITED",CAPP ST / 18TH ST,-122.41827216643,37.7619029613068
2012-04-08 12:30:00,VEHICLE THEFT,STOLEN TRUCK,Sunday,TENDERLOIN,NONE,300 Block of OFARRELL ST,-122.410530908418,37.7861517236899
2005-04-24 16:30:00,ASSAULT,THREATS AGAINST LIFE,Sunday,TARAVAL,"ARREST, BOOKED",600 Block of MOUNT VERNON AV,-122.450447615004,37.719143881105296
2012-04-02 09:20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,1200 Block of THE EMBARCADERONORTH ST,-122.404387129122,37.806078388625295
2005-09-11 22:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Sunday,CENTRAL,NONE,900 Block of FRANCISCO ST,-122.42089383161002,37.8040649559574
2003-04-06 17:30:00,ASSAULT,THREATS AGAINST LIFE,Sunday,MISSION,"ARREST, BOOKED",300 Block of POTRERO AV,-122.407544906452,37.7651192951994
2009-10-31 00:25:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,MISSION,"ARREST, CITED",FOLSOM ST / 17TH ST,-122.415155941054,37.7636979308883
2006-02-20 08:45:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452428220398,37.725717254655706
2009-08-18 18:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,BRANNAN ST / 4TH ST,-122.396533248456,37.7783268978785
2010-07-27 16:00:00,FRAUD,"SHORT CHANGE, PETTY THEFT",Tuesday,CENTRAL,NONE,700 Block of GEARY ST,-122.415632654294,37.7863587808386
2003-08-07 13:10:00,NON-CRIMINAL,AIDED CASE,Thursday,PARK,NONE,100 Block of BEAVER ST,-122.436877698954,37.7653773945132
2011-10-05 00:01:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,TARAVAL,NONE,1200 Block of 43RD AV,-122.502977955128,37.7633480390572
2013-12-11 07:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,IOWA ST / 23RD ST,-122.39190426086,37.7551569778285
2009-08-06 09:30:00,ASSAULT,BATTERY,Thursday,PARK,NONE,1200 Block of PIERCE ST,-122.435648651244,37.78149288329001
2007-08-22 15:20:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,SOUTHERN,"ARREST, BOOKED",MARKET ST / TAYLOR ST,-122.41029351969,37.7822305870036
2010-04-20 18:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN,NONE,OFARRELL ST / HYDE ST,-122.416261836834,37.78537508463761
2003-10-19 23:10:00,WARRANTS,WARRANT ARREST,Sunday,MISSION,"ARREST, BOOKED",2700 Block of 24TH ST,-122.407745321325,37.7529342790976
2008-11-28 13:36:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Friday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2006-04-21 23:55:00,ASSAULT,BATTERY,Friday,INGLESIDE,NONE,CAYUGA AV / OCEAN AV,-122.43880804195,37.723601448356106
2003-10-05 16:49:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN,"ARREST, CITED",ANTONIO ST / JONES ST,-122.41288317794,37.78535303587071
2004-12-11 13:30:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Saturday,TENDERLOIN,NONE,0 Block of GROVE ST,-122.415642487855,37.7788323158792
2012-05-29 11:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,INGLESIDE,NONE,600 Block of PORTOLA DR,-122.452761504469,37.7448131362383
2006-10-30 17:00:00,NON-CRIMINAL,LOST PROPERTY,Monday,TARAVAL,NONE,HOLLOWAY AV / 19TH AV,-122.475222189932,37.7210571460375
2009-05-29 08:35:00,ASSAULT,BATTERY,Friday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410157073911,37.7842973843312
2009-01-24 23:10:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,MISSION,NONE,UTAH ST / 17TH ST,-122.406430510203,37.7645480851406
2003-10-31 02:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,MISSION,NONE,UTAH ST / 16TH ST,-122.406553700764,37.765842635446
2011-09-08 09:00:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2010-09-07 10:45:00,MISSING PERSON,MISSING JUVENILE,Tuesday,BAYVIEW,LOCATED,1100 Block of KEY AV,-122.39859360431002,37.7204502300801
2010-10-19 19:21:00,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Tuesday,PARK,"ARREST, BOOKED",1100 Block of SCOTT ST,-122.437236101904,37.7803348745141
2009-06-08 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,SAN BRUNO AV / HARKNESS AV,-122.400133724845,37.717908168364
2003-06-27 14:45:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,BAYVIEW,NONE,300 Block of MENDELL ST,-122.384059534883,37.7415444087049
2006-07-15 16:30:00,NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668
2015-01-09 16:40:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387
2004-06-13 20:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,PARK,NONE,PIERCE ST / HAIGHT ST,-122.43373735353,37.7716875238896
2005-09-21 17:30:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Wednesday,TARAVAL,"ARREST, BOOKED",JUDAH ST / 9TH AV,-122.466180771658,37.7621738188753
2004-07-06 12:00:00,MISSING PERSON,MISSING ADULT,Tuesday,NORTHERN,LOCATED,1000 Block of POST ST,-122.419126295342,37.7869849580362
2006-03-08 15:00:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Wednesday,CENTRAL,NOT PROSECUTED,800 Block of SUTTER ST,-122.414368110368,37.7884368260567
2012-10-17 17:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,BRYANT ST / MAIN ST,-122.388784430412,37.7868979973476
2005-12-17 19:32:00,TRESPASS,TRESPASSING,Saturday,TENDERLOIN,"ARREST, CITED",0 Block of 5THSTNORTH ST,-122.408648588965,37.7849124714135
2004-09-16 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,CHURCH ST / 16TH ST,-122.428668107708,37.7645077029992
2012-02-11 06:24:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Saturday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.403404791479,37.775420706711
2011-09-23 00:01:00,OTHER OFFENSES,FALSE PERSONATION AND CHEAT CRIMES (GENERAL),Friday,PARK,NONE,2100 Block of 15TH ST,-122.432176146546,37.7659822789999
2010-12-19 01:30:00,ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,NORTHERN,NONE,700 Block of ELLIS ST,-122.418562097105,37.78418470913029
2005-11-18 16:21:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,PSYCHOPATHIC CASE,2200 Block of MISSION ST,-122.419350173229,37.76101609120561
2006-04-07 09:45:00,ROBBERY,"ROBBERY, BODILY FORCE",Friday,BAYVIEW,JUVENILE BOOKED,1200 Block of REVERE AV,-122.383599364346,37.7280102316098
2006-11-13 12:00:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Monday,TARAVAL,NONE,300 Block of SERRANO DR,-122.480450749459,37.7190118676786
2007-07-15 13:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,RICHMOND,NONE,500 Block of 3RD AV,-122.460793422453,37.77829288255621
2007-11-28 13:30:00,DRUG/NARCOTIC,SALE OF HEROIN,Wednesday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866
2003-01-22 22:15:00,TRESPASS,TRESPASSING,Wednesday,CENTRAL,"ARREST, CITED",100 Block of SUTTER ST,-122.403344544792,37.7898368259498
2010-03-14 16:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,CENTRAL,NONE,100 Block of DRUMM ST,-122.396612261014,37.7950446763389
2015-03-03 18:27:00,KIDNAPPING,FALSE IMPRISONMENT,Tuesday,NORTHERN,"ARREST, BOOKED",700 Block of LAGUNA ST,-122.426431627648,37.7776339847429
2015-03-19 19:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,NORTHERN,"ARREST, BOOKED",VANNESS AV / OFARRELL ST,-122.421195221815,37.7847536577561
2003-04-18 15:20:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Friday,NORTHERN,"ARREST, BOOKED",2500 Block of LOMBARD ST,-122.443479362863,37.79879070161071
2005-10-07 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,PINE ST / FRANKLIN ST,-122.423785184874,37.7892026280853
2004-06-25 09:00:00,TRESPASS,TRESPASSING,Friday,TARAVAL,NONE,OCEAN AV / HAROLD AV,-122.453105673073,37.723244402618704
2009-05-16 15:00:00,VEHICLE THEFT,STOLEN TRAILER,Saturday,CENTRAL,NONE,2800 Block of LEAVENWORTH ST,-122.419067224379,37.8073339305952
2010-06-29 12:00:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Tuesday,RICHMOND,NONE,3100 Block of CLEMENT ST,-122.492925040569,37.7817063075528
2004-02-07 01:23:00,ASSAULT,BATTERY,Saturday,TENDERLOIN,"ARREST, BOOKED",GEARY ST / JONES ST,-122.413174494403,37.7867190155311
2013-01-25 20:00:00,OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,Friday,MISSION,"ARREST, BOOKED",18TH ST / MISSION ST,-122.419360352761,37.7618358012376
2006-06-26 17:02:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,CENTRAL,NONE,800 Block of GEARY ST,-122.417273344939,37.7861493947594
2004-04-27 02:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,CENTRAL,NONE,700 Block of PINE ST,-122.40768078831002,37.7911972507673
2013-12-27 19:10:00,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Friday,SOUTHERN,"ARREST, BOOKED",900 Block of MISSION ST,-122.407932868203,37.7815063666429
2007-06-14 21:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,NORTHERN,NONE,0 Block of TOLEDO WY,-122.438483262382,37.8011850167559
2007-05-20 20:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,3RD ST / HOWARD ST,-122.400473580152,37.7850290611875
2011-03-22 14:05:00,ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,TENDERLOIN,"ARREST, BOOKED",500 Block of OFARRELL ST,-122.413820070176,37.7857382950322
2012-02-11 20:14:00,ASSAULT,BATTERY,Saturday,INGLESIDE,"ARREST, BOOKED",200 Block of PUTNAM ST,-122.411123069982,37.73633223644861
2003-10-28 07:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,BAYVIEW,NONE,1000 Block of 25TH ST,-122.389245701528,37.7526939496325
2005-11-15 15:43:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
2009-11-11 07:40:00,WARRANTS,WARRANT ARREST,Wednesday,MISSION,"ARREST, BOOKED",MISSION ST / DUBOCE AV,-122.420010175609,37.7701099298175
2014-10-03 22:26:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,MISSION,"ARREST, BOOKED",600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
2005-08-11 16:10:00,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Thursday,TARAVAL,NONE,0 Block of LOPEZ AV,-122.463653274495,37.747427310884
2007-10-17 08:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,BAYVIEW,NONE,400 Block of TEXAS ST,-122.395306421689,37.76071334736221
2013-05-13 00:50:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,SOUTHERN,"ARREST, CITED",2ND ST / NATOMA ST,-122.398791708177,37.787204233605
2013-01-09 07:50:00,MISSING PERSON,FOUND PERSON,Wednesday,BAYVIEW,LOCATED,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321
2011-08-26 14:12:00,NON-CRIMINAL,FOUND PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2015-03-03 17:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,GEARY BL / WEBSTER ST,-122.431206932079,37.7845681170336
2003-07-21 10:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,BAYVIEW,NONE,1200 Block of PENNSYLVANIA AV,-122.392623643609,37.7517100089534
2013-03-04 19:46:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,NORTHERN,NONE,3100 Block of BUCHANAN ST,-122.432466483616,37.7991512023929
2004-11-14 22:42:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,BAYVIEW,"ARREST, CITED",BAY SHORE BL / SILVER AV,-122.404658361443,37.7329487043512
2014-08-05 17:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2008-03-31 15:02:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,PARK,"ARREST, CITED",FULTON ST / PIERCE ST,-122.434865853498,37.7772809749441
2004-04-04 22:17:00,WARRANTS,WARRANT ARREST,Sunday,NORTHERN,"ARREST, BOOKED",15TH ST / SANCHEZ ST,-122.431028702687,37.7658672394583
2015-02-19 20:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,CENTRAL,NONE,WASHINGTON ST / DRUMM ST,-122.396962385547,37.7963478739442
2012-02-10 17:16:00,OTHER OFFENSES,MISCELLANEOUS STATE FELONY,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
2008-06-01 11:00:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,MISSION,"ARREST, CITED",200 Block of CAPP ST,-122.418415888321,37.7626869631943
2010-06-14 17:29:00,ASSAULT,BATTERY,Monday,INGLESIDE,"ARREST, CITED",500 Block of CORTLAND AV,-122.416195250578,37.7390857376347
2012-09-06 10:45:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,BAYVIEW,NONE,100 Block of DAKOTA ST,-122.395635436168,37.7535645746594
2011-07-11 08:20:00,NON-CRIMINAL,AIDED CASE,Monday,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.416916142188,37.78439444920679
2004-10-25 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,0 Block of NORTON ST,-122.435709128534,37.7250514707571
2010-06-06 17:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,INGLESIDE,"ARREST, CITED",AVALON AV / LISBON ST,-122.430079307472,37.72666478581471
2004-11-09 23:00:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,TENDERLOIN,NONE,200 Block of MCALLISTER ST,-122.416577792446,37.780614876154
2007-11-26 04:28:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,CENTRAL,"ARREST, CITED",BUSH ST / HYDE ST,-122.417019320691,37.7891095538736
2009-06-24 15:30:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,NONE,1600 Block of MARKET ST,-122.422127579529,37.7730330183515
2014-10-04 20:30:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,PSYCHOPATHIC CASE,200 Block of MARKET ST,-122.397034190089,37.7928236509312
2006-07-11 08:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,MISSION,NONE,2100 Block of MISSION ST,-122.419331147814,37.76226433574229
2012-12-11 20:45:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,PARK,PSYCHOPATHIC CASE,100 Block of DIVISADERO ST,-122.436652716612,37.76969309202861
2003-05-17 21:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,TARAVAL,NONE,1700 Block of 10TH AV,-122.466863917192,37.755579972541
2011-05-16 14:15:00,LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS,Monday,NORTHERN,NONE,2400 Block of LOMBARD ST,-122.441854041374,37.7992097167784
2014-01-07 09:40:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,CENTRAL,"ARREST, BOOKED",300 Block of SANSOME ST,-122.401107132641,37.7933109922417
2009-05-30 17:25:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Saturday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103
2006-10-30 09:50:00,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Monday,NORTHERN,NONE,300 Block of GROVE ST,-122.42236966578,37.7779702929916
2008-10-17 16:39:00,SECONDARY CODES,GANG ACTIVITY,Friday,MISSION,"ARREST, BOOKED",16TH ST / GUERRERO ST,-122.424104315404,37.764782816589296
2005-01-26 06:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,UNFOUNDED,3000 Block of MARKET ST,-122.44236969444,37.7609713184553
2008-02-09 15:45:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Saturday,TENDERLOIN,PROSECUTED BY OUTSIDE AGENCY,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
2005-09-25 08:55:00,ASSAULT,THREATS AGAINST LIFE,Sunday,RICHMOND,NONE,700 Block of LA PLAYA ST,-122.510170706093,37.7741725064496
